Test Key,Summary,Type,Status,Labels,JIRA Link
"MLBMOB-1567","Exec Users","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1567"
"MLBMOB-1566","Anon Users","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1566"
"MLBMOB-1565","TV Yearly","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1565"
"MLBMOB-1564","TV Monthly","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1564"
"MLBMOB-1563","Single-Team Users","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1563"
"MLBMOB-1562","Free Users","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1562"
"MLBMOB-1560","Entitled","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1560"
"MLBMOB-1609","All-Star Game","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1609"
"MLBMOB-1622","Picture-In-Picture","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1622"
"MLBMOB-1790","Live Game Launch","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1790"
"MLBMOB-1789","Archive Launch","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1789"
"MLBMOB-1761","Day without Games","Manual","To Do","","https://mlbam.atlassian.net/browse/MLBMOB-1761"
